statistikkvariabel	region	bygningstype	ar	Boligbygg,
Fullforte boliger	K-1149 Karmoy	112 Enebolig med hybelleilighet, sokkelleilighet o.l.	2018	16
Fullforte boliger	K-1149 Karmoy	112 Enebolig med hybelleilighet, sokkelleilighet o.l.	2019	12
Fullforte boliger	K-1149 Karmoy	112 Enebolig med hybelleilighet, sokkelleilighet o.l.	2020	10
Fullforte boliger	K-1149 Karmoy	112 Enebolig med hybelleilighet, sokkelleilighet o.l.	2021	2
Fullforte boliger	K-1149 Karmoy	112 Enebolig med hybelleilighet, sokkelleilighet o.l.	2022	7
Fullforte boliger	K-1149 Karmoy	112 Enebolig med hybelleilighet, sokkelleilighet o.l.	2023	12
Fullforte boliger	K-1149 Karmoy	113 Vaningshus	2013	0
Fullforte boliger	K-1149 Karmoy	113 Vaningshus	2014	1
Fullforte boliger	K-1149 Karmoy	113 Vaningshus	2015	1
Fullforte boliger	K-1149 Karmoy	113 Vaningshus	2016	3
Fullforte boliger	K-1149 Karmoy	113 Vaningshus	2017	1
Fullforte boliger	K-1149 Karmoy	113 Vaningshus	2018	1
Fullforte boliger	K-1149 Karmoy	113 Vaningshus	2019	3
Fullforte boliger	K-1149 Karmoy	113 Vaningshus	2020	1
Fullforte boliger	K-1149 Karmoy	113 Vaningshus	2021	2
Fullforte boliger	K-1149 Karmoy	113 Vaningshus	2022	1
Fullforte boliger	K-1149 Karmoy	113 Vaningshus	2023	0
Fullforte boliger	K-1149 Karmoy	121 Del av tomannsbolig, vertikaldelt	2013	41
Fullforte boliger	K-1149 Karmoy	121 Del av tomannsbolig, vertikaldelt	2014	30
Fullforte boliger	K-1149 Karmoy	121 Del av tomannsbolig, vertikaldelt	2015	28
Fullforte boliger	K-1149 Karmoy	121 Del av tomannsbolig, vertikaldelt	2016	27
Fullforte boliger	K-1149 Karmoy	121 Del av tomannsbolig, vertikaldelt	2017	13
Fullforte boliger	K-1149 Karmoy	121 Del av tomannsbolig, vertikaldelt	2018	7
Fullforte boliger	K-1149 Karmoy	121 Del av tomannsbolig, vertikaldelt	2019	15
Fullforte boliger	K-1149 Karmoy	121 Del av tomannsbolig, vertikaldelt	2020	15
Fullforte boliger	K-1149 Karmoy	121 Del av tomannsbolig, vertikaldelt	2021	7
Fullforte boliger	K-1149 Karmoy	121 Del av tomannsbolig, vertikaldelt	2022	3
Fullforte boliger	K-1149 Karmoy	121 Del av tomannsbolig, vertikaldelt	2023	2
Fullforte boliger	K-1149 Karmoy	122 Tomannsbolig, horisontaldelt	2013	4
Fullforte boliger	K-1149 Karmoy	122 Tomannsbolig, horisontaldelt	2014	0
Fullforte boliger	K-1149 Karmoy	122 Tomannsbolig, horisontaldelt	2015	0
Fullforte boliger	K-1149 Karmoy	122 Tomannsbolig, horisontaldelt	2016	12
Fullforte boliger	K-1149 Karmoy	122 Tomannsbolig, horisontaldelt	2017	8
