region	boligtype	kvartal	statistikkvariabel	05963: Selveierboliger,
1103 Stavanger	Småhus	2021K4	Gjennomsnittlig kvadratmeterpris (kr)	34840
1103 Stavanger	Småhus	2022K1	Gjennomsnittlig kvadratmeterpris (kr)	36398
1103 Stavanger	Småhus	2022K2	Gjennomsnittlig kvadratmeterpris (kr)	36501
1103 Stavanger	Småhus	2022K3	Gjennomsnittlig kvadratmeterpris (kr)	36634
1103 Stavanger	Småhus	2022K4	Gjennomsnittlig kvadratmeterpris (kr)	36211
1103 Stavanger	Småhus	2023K1	Gjennomsnittlig kvadratmeterpris (kr)	37082
1103 Stavanger	Småhus	2023K2	Gjennomsnittlig kvadratmeterpris (kr)	37272
1103 Stavanger	Småhus	2023K3	Gjennomsnittlig kvadratmeterpris (kr)	39390
1103 Stavanger	Småhus	2023K4	Gjennomsnittlig kvadratmeterpris (kr)	37638
1103 Stavanger	Småhus	2024K1	Gjennomsnittlig kvadratmeterpris (kr)	37985
1103 Stavanger	Blokkleiligheter	2013K1	Gjennomsnittlig kvadratmeterpris (kr)	48550
1103 Stavanger	Blokkleiligheter	2013K2	Gjennomsnittlig kvadratmeterpris (kr)	47870
1103 Stavanger	Blokkleiligheter	2013K3	Gjennomsnittlig kvadratmeterpris (kr)	46539
1103 Stavanger	Blokkleiligheter	2013K4	Gjennomsnittlig kvadratmeterpris (kr)	45456
1103 Stavanger	Blokkleiligheter	2014K1	Gjennomsnittlig kvadratmeterpris (kr)	46195
1103 Stavanger	Blokkleiligheter	2014K2	Gjennomsnittlig kvadratmeterpris (kr)	47649
1103 Stavanger	Blokkleiligheter	2014K3	Gjennomsnittlig kvadratmeterpris (kr)	46666
1103 Stavanger	Blokkleiligheter	2014K4	Gjennomsnittlig kvadratmeterpris (kr)	46808
1103 Stavanger	Blokkleiligheter	2015K1	Gjennomsnittlig kvadratmeterpris (kr)	47084
1103 Stavanger	Blokkleiligheter	2015K2	Gjennomsnittlig kvadratmeterpris (kr)	46837
1103 Stavanger	Blokkleiligheter	2015K3	Gjennomsnittlig kvadratmeterpris (kr)	44762
1103 Stavanger	Blokkleiligheter	2015K4	Gjennomsnittlig kvadratmeterpris (kr)	41836
1103 Stavanger	Blokkleiligheter	2016K1	Gjennomsnittlig kvadratmeterpris (kr)	41237
1103 Stavanger	Blokkleiligheter	2016K2	Gjennomsnittlig kvadratmeterpris (kr)	41131
1103 Stavanger	Blokkleiligheter	2016K3	Gjennomsnittlig kvadratmeterpris (kr)	43276
1103 Stavanger	Blokkleiligheter	2016K4	Gjennomsnittlig kvadratmeterpris (kr)	44317
1103 Stavanger	Blokkleiligheter	2017K1	Gjennomsnittlig kvadratmeterpris (kr)	43707
1103 Stavanger	Blokkleiligheter	2017K2	Gjennomsnittlig kvadratmeterpris (kr)	44637
1103 Stavanger	Blokkleiligheter	2017K3	Gjennomsnittlig kvadratmeterpris (kr)	45386
1103 Stavanger	Blokkleiligheter	2017K4	Gjennomsnittlig kvadratmeterpris (kr)	44702
1103 Stavanger	Blokkleiligheter	2018K1	Gjennomsnittlig kvadratmeterpris (kr)	44144
1103 Stavanger	Blokkleiligheter	2018K2	Gjennomsnittlig kvadratmeterpris (kr)	44735
1103 Stavanger	Blokkleiligheter	2018K3	Gjennomsnittlig kvadratmeterpris (kr)	44655
1103 Stavanger	Blokkleiligheter	2018K4	Gjennomsnittlig kvadratmeterpris (kr)	44236
1103 Stavanger	Blokkleiligheter	2019K1	Gjennomsnittlig kvadratmeterpris (kr)	41989
1103 Stavanger	Blokkleiligheter	2019K2	Gjennomsnittlig kvadratmeterpris (kr)	43919
1103 Stavanger	Blokkleiligheter	2019K3	Gjennomsnittlig kvadratmeterpris (kr)	44440
1103 Stavanger	Blokkleiligheter	2019K4	Gjennomsnittlig kvadratmeterpris (kr)	42843
1103 Stavanger	Blokkleiligheter	2020K1	Gjennomsnittlig kvadratmeterpris (kr)	44477
1103 Stavanger	Blokkleiligheter	2020K2	Gjennomsnittlig kvadratmeterpris (kr)	44241
1103 Stavanger	Blokkleiligheter	2020K3	Gjennomsnittlig kvadratmeterpris (kr)	44734
1103 Stavanger	Blokkleiligheter	2020K4	Gjennomsnittlig kvadratmeterpris (kr)	45313
1103 Stavanger	Blokkleiligheter	2021K1	Gjennomsnittlig kvadratmeterpris (kr)	46315
1103 Stavanger	Blokkleiligheter	2021K2	Gjennomsnittlig kvadratmeterpris (kr)	47799
1103 Stavanger	Blokkleiligheter	2021K3	Gjennomsnittlig kvadratmeterpris (kr)	48798
1103 Stavanger	Blokkleiligheter	2021K4	Gjennomsnittlig kvadratmeterpris (kr)	47930
1103 Stavanger	Blokkleiligheter	2022K1	Gjennomsnittlig kvadratmeterpris (kr)	50342
1103 Stavanger	Blokkleiligheter	2022K2	Gjennomsnittlig kvadratmeterpris (kr)	50174
1103 Stavanger	Blokkleiligheter	2022K3	Gjennomsnittlig kvadratmeterpris (kr)	52020
1103 Stavanger	Blokkleiligheter	2022K4	Gjennomsnittlig kvadratmeterpris (kr)	51381
1103 Stavanger	Blokkleiligheter	2023K1	Gjennomsnittlig kvadratmeterpris (kr)	52134
1103 Stavanger	Blokkleiligheter	2023K2	Gjennomsnittlig kvadratmeterpris (kr)	54232
1103 Stavanger	Blokkleiligheter	2023K3	Gjennomsnittlig kvadratmeterpris (kr)	52589
1103 Stavanger	Blokkleiligheter	2023K4	Gjennomsnittlig kvadratmeterpris (kr)	52848
1103 Stavanger	Blokkleiligheter	2024K1	Gjennomsnittlig kvadratmeterpris (kr)	56334
